cuisine	types	name	ingredients	difficulty	health_banners
	['dinner', 'main-course', 'supper']	Slow-cooker chicken curry	['1 large onion, roughly chopped', '3 tbsp mild curry paste', '400g can chopped tomatoes', '2 tsp vegetable bouillon powder', '1 tbsp finely chopped ginger', '1 yellow pepper,  deseeded and chopped', '2 skinless chicken legs, fat removed', '30g pack fresh coriander, leaves chopped', 'cooked brown rice,  to serve']	Easy	['Freezable', 'Healthy', 'Low calorie', 'Low fat']
	['dinner', 'main-course', 'pasta']	Stuffed pasta bake bolognese	['250g large pasta shells or conchiglioni', '200g mascarpone', '2 x 125g balls mozzarella, drained and finely chopped', 'large bunch basil, roughly chopped, plus a few whole leaves to serve', '3 garlic cloves, crushed', 'parmesan, to serve', '1 tbsp olive oil', '1 onion, finely diced', '1 celery stick, finely diced', '1 carrot, finely diced', '400g beef mince', '2 garlic cloves, crushed', '250ml red wine', '1 tbsp tomato purée', '3 bay leaves', '2 x 400g cans chopped tomatoes', 'pinch of sugar', '1-2 tsp balsamic vinegar']	Easy	[]
['british']	['afternoon-tea', 'treat']	Cherry bakewell cake	['200g butter, well softened, plus extra for greasing', '200g golden caster sugar', '100g ground almond', '100g self-raising flour', '1 tsp baking powder', '½ tsp almond extract or essence', '4 large eggs', '½ a 340g jar morello cherry conserve', '175g icing sugar', '5-6 tsp water or lemon juice', '1 tbsp ready-toasted flaked almonds']	Easy	['Freezable (Only sponges can be frozen)']
	['dinner', 'main-course', 'supper']	Slow cooker pork casserole	['1 tbsp vegetable or rapeseed oil', '4 pork shoulder steaks (about 750g), cut into large chunks', '1 onion, chopped', '1 leek, chopped', '1 carrot, chopped', 'bundle of woody herbs (bouquet garni) – we used 2 bay leaves, 3 sage leaves and 4 thyme sprigs, plus a few thyme leaves to serve', '1 chicken stock cube', '2 tsp Dijon mustard', '1 tbsp cider vinegar', '2 tsp cornflour', '1 tbsp honey']	Easy	['Freezable']
	['breakfast', 'brunch']	Overnight oats	['¼ tsp  ground cinnamon', '50g rolled porridge oats', '2 tbsp natural yogurt', '50g mixed berries', 'drizzle of honey', '½ tbsp nut butter (we used almond)']	Easy	['Healthy', 'Vegetarian']
['italian']	['dinner', 'main-course', 'supper']	Smoked salmon & lemon risotto	['1 onion, finely chopped', '2 tbsp olive oil', '350g risotto rice, such as Arborio', '1 garlic clove, finely chopped', '1 ½l boiling vegetable stock', '170g pack smoked salmon, three-quarters chopped', '85g mascarpone lite', '3 tbsp flat-leaf parsley, chopped', 'grated lemon zest, plus squeeze of juice', 'handful rocket']	Easy	[]
		Christmas crinkle cookies	['60g cocoa powder, sieved', '200g caster sugar', '60ml vegetable oil', '2 large eggs', '180g plain flour', '1 tsp baking powder', '2 oranges, zested', '2 tsp mixed spice', '1 tsp cinnamon', '50g icing sugar']	Easy	['Freezable (dough only)', 'Nut-free', 'Vegetarian']
	['dinner', 'lunch', 'main-course']	No yeast pizza dough	['350g plain flour', '2 ¾ tsp  baking powder', '1 tsp salt', '1 tbsp oil', 'additional toppings  of your choice ']	Easy	['Vegetarian']
	['dinner', 'lunch', 'supper']	Spiced halloumi & pineapple burger with zingy slaw	['½ red cabbage, grated', '2 carrots, grated', '100g radishes, sliced', '1 small pack coriander, chopped', '2 limes, juiced', '1 tbsp cold-pressed rapeseed oil', 'big pinch of chilli flakes', '1 tbsp chipotle paste', '60g halloumi, cut into 4 slices', '2 small slices of fresh pineapple', '1 Little Gem lettuce, divided into 4 lettuce cups, or 2 small seeded burger buns, cut in half, to serve (optional)']	Easy	['Healthy', 'Vegetarian']
	['dinner', 'main-course', 'supper']	Spicy harissa aubergine pie	['3 tbsp olive oil', '2 aubergines, cut into chunks', '2 red onions, finely sliced', '2 large garlic cloves, crushed', '2 tbsp rose harissa paste', '1 tbsp ground coriander', '400g can cherry tomatoes', '250g pouch cooked puy lentils', '100g pitted green olives', '1 small bunch parsley, finely chopped', '1.3kg sweet potatoes, peeled and cut into 3cm chunks', '100g feta, crumbled']	Easy	['Freezable', 'Gluten-free', 'Vegetarian']
	['dinner', 'lunch', 'main-course', 'supper']	Roast chicken traybake	['2 red onions (320g), sliced across into rings', '1 large red pepper, deseeded and chopped into 3cm pieces', '300g potatoes, peeled and cut into 3cm chunks', '2 tbsp rapeseed oil', '4 bone-in chicken thighs, skin and any fat removed', '1 lime, zested and juiced', '3 large garlic cloves, finely grated', '1 tsp smoked paprika', '1 tsp thyme leaves', '2 tsp vegetable bouillon powder', '200g long stem broccoli, stem cut into lengths if very thick']	Easy	['Gluten-free', 'Healthy']
	['afternoon-tea', 'dessert', 'treat']	Vegan brownies	['2 tbsp ground flaxseed', '200g dark chocolate, roughly chopped', '½ tsp coffee granules', '80g vegan margarine, plus extra for greasing', '125g self-raising flour', '70g ground almonds', '50g cocoa powder', '¼ tsp baking powder', '250g golden caster sugar', '1½ tsp vanilla extract']	Easy	['Freezable', 'Dairy-free', 'Egg-free', 'Vegan', 'Vegetarian']
['moroccan']	['dinner', 'main-course', 'supper']	Moroccan chicken stew	['large handful flaked almonds', '1 tbsp ghee', '2 red onions, finely sliced', '4 garlic cloves, finely chopped', 'thumb-sized piece ginger (about 40g), unpeeled if organic, finely grated', '1 tsp ground cumin', '1 tsp ground cinnamon', '½ smoked sweet paprika', '4 chicken thighs, skin on', '2 red peppers, sliced into thin strips', '1 large lemon, cut into 6 thick slices', 'handful green olives, stoned', '250ml gluten-free chicken stock or bone broth', '4 pitted dates or dried apricots, chopped', 'a small pinch of chilli powder or 1 fresh, red chilli, chopped (optional)', '150g green beans, halved', 'handful fresh coriander, chopped', 'handful fresh parsley, chopped']	More effort	['Gluten-free', 'Healthy', 'High-protein']
	['dinner', 'lunch', 'main-course', 'supper']	Chicken & lemon skewers	['1 small pack mint, leaves picked', '150g natural yogurt, plus extra to serve (optional)', '1 lemon, zested and juiced', '½ tsp ground cumin', '½ tsp  ground coriander', '2cm piece ginger, grated', '4 skinless chicken breasts, each cut into 6 pieces', '4 wholemeal flatbreads or pittas', '2 Little Gem lettuces, sliced', '1 small red onion, sliced, to serve', 'pickled red cabbage, chilli sauce and hummus, to serve (all optional)', '4 metal or wooden skewers']	Easy	['Healthy', 'High-protein']
	['dinner', 'main-course', 'supper']	Blue cheese gnocchi	['2 x 400g packs fresh gnocchi', '1 tbsp olive oil', 'knob of butter', '1 large onion, roughly chopped', '500g small Forestière or Portobello mushrooms, sliced', '2 large garlic cloves, chopped', '150g pack creamy blue cheese', 'small pack parsley, chopped']	Easy	['Easily halved', 'Vegetarian']
['indian']	['dinner', 'main-course']	Lamb rogan josh	['2 onions, quartered', '4 tbsp sunflower oil', '4 garlic cloves, finely crushed', 'thumb-size piece fresh root ginger, peeled and very finely grated', '2 tbsp Madras curry paste', '2 tsp paprika', '1 cinnamon stick', '6 green cardamom, bashed to break the shells', '4 cloves', '2 bay leaves', '1 tbsp tomato purée', '1kg lean leg of lamb, cut into generous cubes', '150ml Greek yogurt', 'chopped coriander, to garnish']	Easy	['Freezable']
['italian']	['main-course', 'pasta']	Super smoky bacon & tomato spaghetti	['400g spaghetti', '1 tbsp olive oil', '120g smoked streaky bacon, sliced into matchsticks', '1 onion, finely chopped', '1 garlic clove, finely chopped', '2 tsp sweet smoked paprika', '2 x 400g cans chopped tomatoes', 'grated parmesan, to serve (optional)']	Easy	['Healthy']
['chinese']	['dinner', 'main-course', 'supper']	Healthy chicken katsu curry	"['25g flaked almonds', '1 tsp cold-pressed rapeseed oil', '2 boneless, skinless chicken breasts (about 300g/11oz total)', 'lime wedges, for squeezing over', '2 tsp cold-pressed rapeseed oil', '1 medium onion, roughly chopped', '2 garlic cloves, finely chopped', 'thumb-sized piece ginger, peeled and finely chopped', '2 tsp medium curry powder', '1 star anise', '¼ tsp ground turmeric', '1 tbsp plain wholemeal flour', '100g long-grain brown rice', '2 spring onions, finely sliced (include the green part)', '1 medium carrot, peeled into long strips with a vegetable peeler', '⅓ cucumber, peeled into long strips with a vegetable peeler', ""1 small red chilli, finely chopped (deseeded if you don't like it too hot)"", 'juice ½ lime', 'small handful mint leaves', 'small handful coriander leaves']"	Easy	['Healthy']
['thai']	['dinner', 'main-course']	Thai red curry	['1tbsp vegetable oil', '1tbsp ginger & garlic paste', 'red curry paste', '800ml coconut milk', '8 skinless, boneless chicken thighs, cut into large chunks', '4 lime leaves (ideally fresh)', '2tbsp fish sauce', '1tsp brown sugar', 'Thai basil', 'basil or coriander, plus extra to serve', '1 red chilli, sliced diagonally', 'thumb-sized piece ginger, cut into matchsticks', 'cooked jasmine rice, to serve']	Easy	['Gluten-free']
