cuisine	types	name	ingredients	difficulty	health_banners	instructions	link
['italian']	['dinner', 'lunch', 'main-course']	Classic lasagne	['2 olive oil, plus a little for the dish', '750g lean beef mince', '90g pack prosciutto', 'tomato sauce', '200ml hot beef stock', 'a little grated nutmeg', '300g pack fresh lasagne sheets', 'white sauce', '125g ball mozzarella, torn into thin strips']	Easy	['Freezable']	['To make the meat sauce, heat 2 tbsp olive oil in a frying pan and cook 750g lean beef mince in two batches for about 10 mins until browned all over.', 'Finely chop 4 slices of prosciutto from a 90g pack, then stir through the meat mixture.', 'Pour over 800g passata or half our basic tomato sauce recipe and 200ml hot beef stock. Add a little grated nutmeg, then season.', 'Bring up to the boil, then simmer for 30 mins until the sauce looks rich.', 'Heat oven to 180C/fan/160C/gas 4 and lightly oil an ovenproof dish (about 30 x 20cm).', 'Spoon one third of the meat sauce into the dish, then cover with some fresh lasagne sheets from a 300g pack. Drizzle over roughly 130g ready-made or homemade white sauce.', 'Repeat until you have 3 layers of pasta. Cover with the remaining 390g white sauce, making sure you can’t see any pasta poking through.', 'Scatter 125g torn mozzarella over the top.', 'Arrange the rest of the prosciutto on top. Bake for 45 mins until the top is bubbling and lightly browned.']	https://www.bbcgoodfood.com/recipes/classic-lasagne-0
['mexican']	['dinner', 'lunch', 'soup', 'supper']	Spicy chilli bean soup	['1 tbsp olive oil', '1 large onion, finely chopped', '1 garlic clove, crushed', '1 tbsp tomato purée', '1 tsp mild chilli powder', '½ tsp ground cumin', '400g can chopped tomatoes', '500ml vegetable stock', '400g can mixed beans, drained and rinsed', '1 red pepper, cut into chunky dice', 'tortilla chips, to serve', '4 limes wedges, to serve']	Easy	['Dairy-free', 'Healthy', 'Vegan', 'Vegetarian']	['Heat the oil in a deep saucepan and fry the chopped onion over a medium heat until tender. Add the garlic and tomato purée, stirring for 1-2 mins until combined. Sprinkle in the spices and cook for another 1 min.', 'Tip in the chopped tomatoes, half fill the can with water, and add to the pan. Pour in the stock and simmer on a medium heat for 10-15 mins, uncovered. Season, then whizz using a hand blender until smooth. Add the beans and red pepper, and cook for another 15 mins until the pepper is tender.', 'Serve in bowls topped with a small pile of tortilla chips and a lime wedge.']	https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup
['indian']	['side-dish']	Bombay potatoes	['1 thumb-sized piece ginger, grated', '2 large garlic cloves', '6 large  vine tomatoes, halved, deseeded and chopped ', '800g new potatoes, halved ', '3 tbsp sunflower oil', '1 large onion, thinly sliced', '2 green chillies, halved, deseeded and thinly sliced', '1 tsp black mustard seeds', '2 tsp ground coriander', '½ tsp turmeric', '1 tsp ground cumin', '2 tsp garam masala', 'small bunch coriander, chopped']	Easy	['Dairy-free', 'Egg-free', 'Gluten-free', 'Vegan', 'Vegetarian']	['Put the ginger, garlic and four tomatoes into a food processor and blitz until smooth. Set aside.', 'Put the potatoes in a large saucepan. Cover with cold water and bring to a simmer over a medium heat. Cook for 8-10 mins, or until just tender. Drain and leave to steam dry.', 'Meanwhile, heat the oil in a large non-stick frying pan over a medium heat. Add the onions and a large pinch of salt and fry for 15 mins, or until the onions are golden and sticky. Add the chillies, mustard seeds, ground coriander, turmeric, cumin and garam masala to the pan and fry for another 2 mins. Tip in the tomato mixture and bring to a gentle simmer, then carefully stir in the potatoes and remaining tomatoes. Season to taste. Gently simmer the Bombay potatoes for a few mins until everything is warmed through, then serve topped with the coriander.']	https://www.bbcgoodfood.com/recipes/bombay-potatoes
	['afternoon-tea', 'treat']	Chocolate tiffin	['150g butter, cubed, plus extra for the tin', '3 tbsp caster sugar', '3 tbsp golden syrup', '6 tsp cocoa powder', '225g biscuits, crushed ', 'handful of raisins', '110g milk chocolate', '110g dark chocolate']	Easy	['Vegetarian']	"['Butter and line a 15-20cm tin with baking parchment. In a large saucepan, melt the butter, sugar, syrup and cocoa. Stir through the biscuits and raisins.', ""Pour the mixture into the prepared tin and press down, then smooth the top with the back of a spoon. Microwave both chocolates in short 20 second bursts, stirring frequently, until melted. Pour them over the mixture in the tin. Use a palette knife or spoon to smooth over, so it's completely coated in chocolate."", 'Put the tin into the fridge and leave for about 2 hrs to set, or overnight. Run a kitchen knife under the hot tap then cut into squares.']"	https://www.bbcgoodfood.com/recipes/chocolate-tiffin
['french']	['dinner', 'side-dish']	Creamed spinach	['25g butter', '1 small onion, finely chopped', '2 tbsp plain flour', '200ml full-fat milk', '2 x 200g bags spinach', '100ml single cream', 'fresh nutmeg, for grating']	Easy	['Easily halved', 'Vegetarian']	['Heat 25g butter in a saucepan, then add 1 finely chopped small onion and cook for 5 mins until softened.', 'Stir in 2 tbsp plain flour and cook for 2 mins, then slowly start to whisk in 200ml full-fat milk. When it has all been incorporated, gently cook for 5 mins until the sauce has thickened.', 'Meanwhile, place two 200g bags spinach in a large colander. Pour over a kettle full of boiling water until the leaves have wilted (you may have to do this twice).', 'Place the spinach in a clean dishcloth, squeeze out any excess liquid, then roughly chop.', 'Stir into the sauce with 100ml single cream, gently heat, then finely grate over some fresh nutmeg and season well.']	https://www.bbcgoodfood.com/recipes/creamed-spinach
	['dinner', 'main-course', 'supper']	Baked ratatouille & goat’s cheese	['4 tbsp olive oil', '2 red onions, chopped', '2 garlic cloves, finely chopped', '2 aubergines, diced', '2 red peppers, seeded and diced', '1 tsp smoked paprika', '2 tbsp balsamic vinegar', '1 tsp soy sauce', '500ml passata', '200g young goat’s cheese', '4 courgettes (a mixture of green and yellow looks nice), thinly sliced', '400ml milk', '50g unsalted butter', '50g plain flour', '80g parmesan or vegetarian alternative, finely grated']	Easy	['Freezable', 'Vegetarian']	['Heat 1 tbsp olive oil in a heavy frying pan and gently cook the red onion and garlic for 5 mins until just starting to brown. Scatter over the aubergine and red pepper and sizzle for another 4 mins, adding more oil if you need to. Season well and stir through the paprika, then splash in the vinegar and soy sauce. Pour over the passata, then simmer for 5 mins until glossy and thick. Turn off the heat. Can be made up to two days ahead and kept in the fridge.', 'To make the cheese sauce, heat the milk in a heavy saucepan until simmering. In a separate pan, melt the butter and add the flour. Stir to make a paste. Slowly whisk in the hot milk and simmer gently for 2-3 mins, stirring continually until thickened slightly. Stir in the parmesan and season.', 'Tip the ratatouille into an ovenproof dish, then completely cover it with the cheese sauce. Crumble over the goat’s cheese and arrange the courgette slices on top in concentric circles, alternating between green and yellow if you have them. Can be assembled several hours before cooking.', 'Heat oven to 220C/200C fan/gas 7. Brush or drizzle the remaining oil over the courgette slices and season with sea salt. Bake in the oven for 25-30 mins until the courgettes are cooked through and starting to brown. Remove from the oven and allow to rest for 20 mins before serving.']	https://www.bbcgoodfood.com/recipes/baked-ratatouille-goats-cheese
['french']	['dinner', 'main-course']	Beef bourguignon	['1.6kg braising steak, cut into large chunks', '3 bay leaves', 'small bunch thyme', '2 bottles cheap  red wine', '2 tbsp oil', '3 large or 6 normal  carrots, cut into large chunks', '2 onions, roughly chopped', '3 tbsp plain flour', '1 tbsp tomato purée', 'small knob butter', '300g bacon lardons', '500g pearl onions or small shallots, peeled', '400g mushrooms, halved', 'chopped parsley']	Easy	['Freezable']	['Tip 1.6kg braising steak, cut into large chunks, into a large bowl with 3 bay leaves, a small bunch of thyme, 2 bottles of red wine and some pepper, then cover and leave in the fridge overnight.', 'Heat the oven to 200C/180C fan/gas 6.', 'Place a colander over another large bowl and strain the marinated meat, keeping the wine.', 'Heat 1 tbsp oil in a large frying pan, then brown the meat in batches, transferring to a plate once browned. When all the meat is browned, pour a little wine into the now-empty frying pan and bubble to release any caramelised bits from the pan.', 'Heat 1 tbsp oil in a large casserole and fry 3 large or 6 normal carrots, cut into large chunks, and 2 roughly chopped onions until they start to colour. Stir in 3 tbsp plain flour for 1 min, then add 1 tbsp tomato purée.', 'Add the beef and any juices, the wine from the frying pan and the rest of the wine and herbs. Season and bring to a simmer. Give everything a good stir, then cover.', 'Transfer to the oven and bake for 2 hrs until the meat is really tender. Cool. Will freeze for up to 3 months.', 'To serve, defrost completely overnight in the fridge if frozen, then place on a low heat to warm through.', 'Meanwhile, heat a small knob of butter in a frying pan and add 300g bacon lardons and 500g peeled pearl onions or small shallots. Sizzle for about 10 mins until the bacon starts to crisp and the onions soften and colour.', 'Add 400g halved mushrooms and fry for another 5 mins, then stir everything into the stew and heat for 10 mins more. Serve scattered with chopped parsley.']	https://www.bbcgoodfood.com/recipes/beef-bourguignon
['british']	['dinner', 'lunch', 'main-course', 'pasta', 'supper']	Easy tomato pasta	['1 tbsp olive oil', '1 onion, chopped', '1 garlic clove, crushed', '400g can cherry or chopped tomatoes', 'pinch sugar', 'few dashes Worcestershire sauce', '100g rigatoni or other tube-shaped pasta', '50g gruyère or cheddar, grated', 'hunk of baguette or sliced bread,  coarsely grated', '2 frankfurters, sliced (optional)']	Easy	['Freezable']	['Heat the oil in a medium pan and fry the onion for 5 mins until softened and lightly golden. Stir in the garlic and cook for a further min. Mix in the tomatoes and sugar, bring to the boil and simmer for 20 mins. Add a few dashes of Worcestershire sauce and season to taste. This basic sauce can now be chilled or frozen.', 'Meanwhile, cook the pasta according to pack instructions. Heat the grill to high. Mix together the cheese and breadcrumbs.', 'Drain the pasta and stir into the sauce. Tip in the frankfurters (if using) and spoon into a heatproof dish. Scatter over the cheesy crumbs and grill for 3-5 mins or until bubbling hot and golden. Serve with a simple salad.']	https://www.bbcgoodfood.com/recipes/frankie-pasta-bake
['asian']	['supper']	Coconut fish curry	"['1 tbsp vegetable oil', '1 onion, finely chopped', 'thumb-sized piece ginger, finely grated', '3 garlic cloves, crushed', '1 tsp shrimp paste', ""1 small red chilli, shredded (deseeded if you don't like it too hot)"", '2 lemongrass stalks, split, then bruised with a rolling pin', '1 heaped tbsp medium curry powder', '1 heaped tbsp light muscovado sugar', 'small bunch coriander, stems finely chopped', '400g can coconut milk', '450g skinless hake fillets, cut into rectangles, roughly credit card size', '220g pack frozen raw whole prawns', '1 lime, halved', 'cooked rice, to serve']"	Easy	['Freezable (sauce only)']	['Heat the oil in a wide, lidded frying pan, then soften the onion for 5 mins. Increase the heat a little, stir in the ginger, garlic, shrimp paste, chilli and lemongrass, and cook for 2 mins. Add the curry powder and sugar, and keep stirring. When the sugar starts to melt and everything starts to clump together, add the coriander stems, coconut milk and 2 tbsp water, then bring to a simmer.', 'Add the fish to the sauce, tuck the prawns in here and there, then squeeze over half the lime. Pop on the lid and simmer for 5 mins more or until the hake is just cooked and flaking, and the prawns are pink through. Taste for seasoning, adding a squeeze more lime to the sauce if you like. Scatter over the coriander leaves and serve with rice.']	https://www.bbcgoodfood.com/recipes/coconut-fish-curry
	['dinner', 'main-course']	Fish pie mac ’n’ cheese	['650ml milk', '40g plain flour', '40g butter', '2 tsp Dijon mustard', '150g mature  cheddar, grated', '180g frozen peas', 'handful of  parsley, chopped', '300g macaroni', '300g fish pie mix (smoked fish, white fish and salmon)', 'green salad, to serve (optional)']	Easy	['Freezable']	['Pour the milk into a large pan and add the flour and butter. Set over a medium heat and whisk continuously until you have a smooth, thick white sauce. Remove from the heat, add the mustard, most of the cheese (save a handful for the top), peas and parsley.', 'Meanwhile, boil the pasta in a large pan of water following pack instructions until just cooked. Drain.', 'Heat the oven to 200C/180C fan/gas 6. Tip the pasta into the sauce and add half the fish, stir everything together then tip into a large baking dish. Top with the rest of the fish, pushing it into the pasta a little, then scatter with the remaining cheese. Bake for 30 mins until golden, then serve with salad, if you like. Can be chilled and eaten within three days or frozen for up to a month. Defrost in the fridge, then reheat in a microwave or oven until piping hot.']	https://www.bbcgoodfood.com/recipes/fish-pie-mac-n-cheese
	['dinner', 'main-course']	Honey-glazed ham	['2½ kg boneless unsmoked gammon joint, tied', '1 sprig thyme 2 bay leaves and 1 rosemary sprig tied together', '1 onion, halved', '2 carrots, roughly chopped', '1 celery stick, roughly chopped ', '1 tbsp black peppercorns', '1 tsp cloves', '1½ tbsp English mustard', '70g clear honey', '2 tbsp soft dark brown sugar']	Easy	[]	['Put the gammon in a large, deep saucepan. Add the tied herbs, onion, carrots, celery, peppercorns and cloves. Pour over enough cold water to cover the meat, then bring to the boil, cover with a lid, and lower to a gentle simmer for 1 hr 15 mins. Turn off the heat and leave the ham to sit in the liquid for 30 mins.', 'Remove from the liquid (this makes a delicious soup stock) and leave to cool until cold enough to handle. Peel off the thick layer of skin on the gammon to reveal a layer of fat. Discard the skin and score the fat in a criss-cross pattern with a sharp knife.', 'Heat the oven to 200C/180C fan/gas 6. Put the ham in a roasting tray lined with foil. Mix together the mustard, honey and sugar in a bowl, then generously brush half over the ham. Roast for 15 mins, then brush with the remaining glaze. Return to the oven for a further 20-30 mins or until sticky and brown. Leave to cool for 15 mins before carving into thick slices.']	https://www.bbcgoodfood.com/recipes/glazed-gammon
['british']	['lunch', 'soup']	Sweet potato & lentil soup	['2 tsp medium curry powder', '3 tbsp olive oil', '2 onions, grated', '1 eating apple, peeled, cored and grated', '3 garlic cloves, crushed', '20g pack coriander, stalks chopped', 'thumb-size piece fresh root ginger, grated', '800g sweet potatoes', '1.2l low-sodium vegetable stock', '100g red lentils', '300ml milk', 'juice 1 lime']	Easy	['Freezable', 'Vegetarian']	['Put the curry powder into a large saucepan, then toast over a medium heat for 2 mins. Add the olive oil, stirring as the spice sizzles in the pan. Tip in the onions, apple, garlic, coriander stalks and ginger, season, then gently cook for 5 mins, stirring every so often.', 'Meanwhile, peel, then grate the sweet potatoes. Tip into the pan with the stock, lentils, milk and seasoning, then simmer, covered, for 20 mins. Blend until smooth using a stick blender. Stir in the lime juice, check the seasoning and serve, topped with roughly-chopped coriander leaves.']	https://www.bbcgoodfood.com/recipes/sweet-potato-lentil-soup
['british']	['dessert', 'dinner', 'supper']	Rice pudding	['100g pudding rice', 'butter, for the dish', '50g sugar', '700ml semi-skimmed milk', 'pinch of grated nutmeg or strip lemon zest', '1 bay leaf, or strip lemon zest']	Easy	[]	['Heat the oven to 150C/130C fan/gas 2. Wash and drain the rice. Butter a 850ml baking dish, then tip in the rice and sugar and stir through the milk. Sprinkle in the nutmeg and top with the bay leaf or lemon zest.', 'Cook for 2 hrs or until the pudding wobbles ever so slightly when shaken.']	https://www.bbcgoodfood.com/recipes/a-nice-rice-pudding
