cuisine	types	name	ingredients	difficulty	health_banners
['british']	['afternoon-tea', 'breakfast', 'snack', 'treat']	Classic scones with jam & clotted cream	['350g self-raising flour, plus more for dusting', '1 tsp baking powder', '85g butter, cut into cubes', '3 tbsp caster sugar', '175ml milk', '1 tsp vanilla extract', 'squeeze lemon juice  (see tips below)', 'beaten egg, to glaze', 'jam and clotted cream, to serve']	Easy	['Easily doubled', 'Easily halved', 'Freezable']
['spanish']	['dinner', 'main-course', 'supper']	Easiest ever seafood rice	['1 tbsp olive oil', '1 leek  or onion, sliced', '110g pack chorizo  sausage, chopped', '1 tsp turmeric', '300g long grain rice', '1l hot fish or chicken stock', '200g frozen peas', '400g frozen seafood mix, defrosted']	Easy	['Healthy', 'High-protein']
['indian']	['dinner', 'main-course', 'supper']	Spinach, sweet potato & lentil dhal	['1 tbsp sesame oil', '1 red onion, finely chopped', '1 garlic clove, crushed', 'thumb-sized piece ginger, peeled and finely chopped', '1 red chilli, finely chopped', '1½ tsp ground turmeric', '1½ tsp ground cumin', '2 sweet potatoes (about 400g/14oz), cut into even chunks', '250g red split lentils', '600ml vegetable stock', '80g bag of spinach', '4 spring onions, sliced on the diagonal, to serve', '½ small pack of Thai basil, leaves torn, to serve']	Easy	['Freezable', 'Healthy', 'Vegan', 'Vegetarian']
	['afternoon-tea', 'dessert', 'treat']	Easy carrot cake	['230ml vegetable oil, plus extra for the tin', '100g natural yogurt', '4 large eggs', '1½ tsp vanilla extract', '½ orange, zested', '265g self-raising flour', '335g light muscovado sugar', '2½ tsp ground cinnamon', '¼ fresh nutmeg, finely grated', '265g carrots (about 3), grated', '100g sultanas or raisins', '100g walnuts or pecans, roughly chopped (optional)', '100g slightly salted butter, softened', '300g icing sugar', '100g soft cheese']	Easy	['Freezable (un-iced)']
	['dinner', 'main-course', 'supper']	Burnt aubergine veggie chilli	['1 aubergine', '1 tbsp olive oil or rapeseed oil', '1 red onion, diced', '2 carrots, finely diced', '70g puy lentils or green lentils, rinsed', '30g red lentils, rinsed', '400g can kidney beans', '3 tbsp dark soy sauce', '400g can chopped tomatoes', '20g dark chocolate, finely chopped', '¼ tsp chilli powder', '2 tsp dried oregano', '2 tsp ground cumin', '2 tsp sweet smoked paprika', '1 tsp coriander', '1 tsp cinnamon', '800ml vegetable stock', '½ lime, juiced', 'brown rice', 'tortilla chips, mashed avocado, yogurt or soured cream, grated cheddar, roughly chopped coriander (optional) ']	Easy	['Freezable', 'Vegetarian']
['british']	['afternoon-tea', 'treat']	Ultimate chocolate cake	['200g dark chocolate (about 60% cocoa solids), chopped', '200g butter, cubed', '1 tbsp instant coffee granules', '85g self-raising flour', '85g plain flour', '¼ tsp bicarbonate of soda', '200g light muscovado sugar', '200g golden caster sugar', '25g cocoa powder', '3 medium  eggs', '75ml buttermilk', '50g grated chocolate or 100g curls, to decorate', '200g dark chocolate (about 60% cocoa solids), chopped', '300ml double cream', '2 tbsp golden caster sugar', '']	Easy	['Freezable (un-iced and undecorated)']
	['dinner']	Chicken arrabbiata stew & parmesan dumplings	['2 tbsp olive oil', '1 onion, thinly sliced', '8 skinless and boneless chicken thighs, halved', '2 large garlic cloves, crushed', '1-1½ tsp chilli flakes', '4 tbsp sun-dried tomato pesto', '250ml chicken stock', '2 x 400g can chopped tomatoes', '5 thyme sprigs, tied', '2 tsp sugar', '½ small bunch of parsley, finely chopped', '80g cold unsalted butter, cubed', '150g self-raising flour', '80g parmesan, grated', '50-60ml milk']	Easy	['Freezable']
	['dinner', 'main-course', 'supper']	Double bean & roasted pepper chilli	['2 onions, chopped', '2 celery sticks, finely chopped', '2 yellow or orange peppers, finely chopped', '2 tbsp sunflower oil or rapeseed oil', '2 x 460g jars roasted red peppers', '2 tsp chipotle paste', '2 tbsp red wine vinegar', '1 tbsp cocoa powder', '1 tbsp dried oregano', '1 tbsp sweet smoked paprika', '2 tbsp ground cumin', '1 tsp ground cinnamon', '2 x 400g cans chopped tomatoes', '400g can refried beans', '3 x 400g cans kidney beans, drained and rinsed', '2 x 400g cans  black beans, drained and rinsed']	Easy	['Freezable', 'Gluten-free', 'Healthy', 'Vegetarian']
['italian']	['dinner', 'lunch', 'main-course', 'starter', 'supper']	Mushroom risotto	['50g dried porcini  mushrooms', '1 vegetable stock  cube', '2 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, finely chopped', '250g pack chestnut mushrooms, chopped', '300g risotto rice, such as arborio', '1 x 175ml glass white wine', '25g butter', 'handful parsley  leaves, chopped', '50g parmesan  or Grana Padano, freshly grated']	Easy	['Vegetarian']
	['afternoon-tea', 'treat']	Chocolate fudge crinkle biscuits	['60g cocoa powder, sieved', '200g caster sugar', '60ml vegetable oil', '2 large eggs', '180g plain flour', '1 tsp baking powder', '70g icing sugar']	Easy	['Freezable', 'Vegetarian']
['british']	['afternoon-tea', 'treat']	Carrot cake	['175g light muscovado sugar', '175ml sunflower oil', '3 large eggs, lightly beaten', '140g grated carrot (about 3 medium)', '100g raisins', '1 large orange, zested', '175g self-raising flour', '1 tsp bicarbonate of soda', '1 tsp ground cinnamon', '½ tsp grated nutmeg (freshly grated will give you the best flavour)', '175g icing sugar', '1½-2 tbsp orange juice']	Easy	['Freezable', 'Dairy-free']
['british']	['afternoon-tea', 'treat']	Vintage chocolate chip cookies	['150g salted butter, softened', '80g light brown muscovado sugar', '80g granulated sugar', '2 tsp vanilla extract', '1 large egg', '225g plain flour', '½ tsp bicarbonate of soda', '¼ tsp salt', '200g plain chocolate chips or chunks']	Easy	['Freezable']
['indian']	['dinner', 'lunch', 'snack', 'soup', 'supper']	Spiced carrot & lentil soup	"['2 tsp cumin seeds', 'pinch chilli flakes', '2 tbsp olive oil', '600g carrots, washed and coarsely grated (no need to peel)', '140g split red lentils', '1l hot vegetable stock (from a cube is fine)', ""125ml milk (to make it dairy-free, see 'try' below)"", 'plain yogurt and naan bread, to serve']"	Easy	['Freezable', 'Healthy', 'Vegetarian']
['chinese']	['dinner', 'main-course']	Chinese chicken curry	['4 skinless chicken breasts, cut into chunks (or use thighs or drumsticks)', '2 tsp cornflour', '1 onion, diced', '2 tbsp rapeseed oil', '1 garlic clove, crushed', '2 tsp curry powder', '1 tsp turmeric', '½ tsp ground ginger', 'pinch sugar', '400ml chicken stock', '1 tsp soy sauce', 'handful frozen peas', 'rice to serve']	Easy	['Healthy', 'High-protein', 'Low calorie', 'Low fat']
['british']	['dinner', 'lunch', 'side-dish']	Best Yorkshire puddings	['140g plain flour (this is about 200ml/7fl oz)', '4 eggs (200ml/7fl oz)', '200ml milk', 'sunflower oil, for cooking']	Easy	['Freezable', 'Vegetarian']
	['dinner', 'main-course', 'supper']	Slow-cooker beef stew	['1 onion, chopped', '2 celery sticks, finely chopped', '2 tbsp rapeseed oil', '3 carrots, halved and cut into chunks', '2 bay leaves', '½ pack thyme', '2 tbsp tomato purée', '2 tbsp Worcestershire sauce', '2 beef stock cubes or stock pots', '900g beef for braising such as skirt, buy a whole piece and cut it yourself for bigger chunks or buy ready-diced', '2 tsp cornflour (optional)', '½ small bunch parsley, chopped', 'buttery mash, to serve (optional)']	Easy	['Freezable']
	['afternoon-tea', 'side-dish', 'snack', 'supper']	Classic cheese scones	['225g self-raising flour, plus extra for dusting ', 'pinch of salt', 'pinch of cayenne pepper', '1 tsp baking powder', '55g chilled butter, cut into cubes', '120g mature cheddar, grated ', '90-100ml milk, plus 1 tbsp for glazing ']	Easy	['Freezable', 'Vegetarian']
['cajun-creole']	['dinner', 'main-course']	Chicken & chorizo jambalaya	['1 tbsp olive oil', '2 chicken breasts, chopped', '1 onion, diced', '1 red pepper, thinly sliced', '2 garlic cloves, crushed', '75g chorizo, sliced', '1 tbsp Cajun seasoning', '250g long grain rice', '400g can plum tomato', '350ml chicken stock']	Easy	['Healthy']
['british']	['afternoon-tea', 'treat']	Lemon drizzle cake	['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']	Easy	['Freezable']
['american']	['afternoon-tea', 'dessert', 'treat']	Best ever chocolate brownies recipe	['185g unsalted butter', '185g best dark chocolate', '85g plain flour', '40g cocoa powder', '50g white chocolate', '50g milk chocolate', '3 large eggs', '275g golden caster sugar']	More effort	[]
['mexican']	['dinner', 'lunch']	Chilli con carne recipe	['1 large onion', '1 red pepper', '2 garlic cloves', '1 tbsp oil', '1 heaped tsp hot chilli powder  (or 1 level tbsp if you only have mild)', '1 tsp paprika', '1 tsp ground cumin', '500g lean minced beef', '1 beef stock cube', '400g can chopped tomatoes', '½ tsp dried marjoram', '1 tsp sugar (or add a thumbnail-sized piece of dark chocolate along with the beans instead, see tip)', '2 tbsp tomato purée', '410g can red kidney beans', 'plain boiled long grain rice, to serve', 'soured cream, to serve']	Easy	['Freezable']
['italian']	['dinner', 'main-course']	Creamy courgette lasagne	['9 dried lasagne  sheets', '1 tbsp sunflower oil', '1 onion, finely chopped', '700g courgette (about 6), coarsely grated', '2 garlic cloves, crushed', '250g tub ricotta', '50g cheddar', '350g jar tomato sauce  for pasta']	Easy	['Easily doubled', 'Easily halved', 'Vegetarian']
['british']	['afternoon-tea', 'buffet', 'supper', 'treat']	Classic Victoria sandwich recipe	['200g caster sugar', '200g softened butter', '4 eggs, beaten', '200g self-raising flour', '1 tsp  baking powder', '2 tbsp milk', '100g butter, softened', '140g icing sugar, sifted', 'drop vanilla extract (optional)', 'half a 340g jar good-quality strawberry jam', 'icing sugar, to decorate']	Easy	['Freezable (Cake base freezes well for 3 months)']
	['lunch', 'snack', 'soup', 'supper']	Chicken noodle soup	['900ml chicken or vegetable stock (or Miso soup mix)', '1 boneless, skinless chicken breast (about 175g)', '1 tsp chopped  fresh ginger', '1 garlic clove, finely chopped', '50g rice or wheat noodles', '2 tbsp  sweetcorn, canned or frozen', '2-3 mushrooms, thinly sliced', '2 spring onions, shredded', '2 tsp  soy sauce, plus extra for serving', 'mint  or basil leaves and a little shredded chilli (optional), to serve']	Easy	['Healthy']
	['afternoon-tea', 'dessert']	Easy chocolate fudge cake	['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', '2 tbsp cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', '150ml semi-skimmed milk', '100g unsalted butter', '225g icing sugar', '40g cocoa powder', '2½ tbsp milk (a little more if needed)']	Easy	['Vegetarian']
	['dinner', 'main-course']	Sweet potato & peanut curry	['1 tbsp coconut oil', '1 onion, chopped', '2 garlic cloves, grated', 'thumb-sized piece ginger, grated', '3 tbsp Thai red curry paste (check the label to make sure it’s vegetarian/ vegan)', '1 tbsp smooth peanut butter', '500g sweet potato, peeled and cut into chunks', '400ml can coconut milk', '200g bag spinach', '1 lime, juiced', 'cooked rice, to serve (optional)', 'dry roasted peanuts, to serve (optional)']	Easy	['Gluten-free', 'Vegan', 'Vegetarian']
	['dinner', 'main-course', 'pasta']	Chicken pasta bake	['4 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed ', '¼ tsp chilli flakes', '2 x 400g cans chopped tomatoes', '1 tsp caster sugar', '6 tbsp mascarpone', '4 skinless chicken breasts, sliced into strips ', '300g penne', '70g mature cheddar, grated ', '50g grated mozzarella', '½ small bunch of parsley, finely chopped']	Easy	[]
['italian']	['dinner', 'lunch', 'main-course', 'supper']	The best spaghetti bolognese recipe	['1 tbsp olive oil', '4 rashers smoked streaky bacon,  finely chopped', '2 medium onions, finely chopped', '2 carrots, trimmed and finely chopped', '2 celery sticks, finely chopped', '2 garlic cloves finely chopped', '2-3 sprigs rosemary leaves picked and finely chopped', '500g beef mince', '2 x 400g tins plum tomatoes', 'small pack basil leaves picked, ¾ finely chopped and the rest left whole for garnish', '1 tsp dried oregano', '2 fresh bay leaves', '2 tbsp tomato purée', '1 beef stock cube', '1 red chilli deseeded and finely chopped (optional)', '125ml red wine', '6 cherry tomatoes sliced in half', '75g parmesan grated, plus extra to serve', '400g spaghetti', 'crusty bread to serve (optional)']	Easy	['Freezable (sauce only)']
	['dinner', 'pasta', 'supper']	Chorizo & mozzarella gnocchi bake	['1 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed', '120g chorizo, diced', '2 x 400g cans chopped  tomatoes', '1 tsp caster sugar', '600g fresh gnocchi', '125g mozzarella ball, cut into chunks', 'small bunch of basil, torn', 'green salad, to serve']	Easy	[]
['british']	['afternoon-tea', 'breakfast', 'snack', 'treat']	Classic scones with jam & clotted cream	['350g self-raising flour, plus more for dusting', '1 tsp baking powder', '85g butter, cut into cubes', '3 tbsp caster sugar', '175ml milk', '1 tsp vanilla extract', 'squeeze lemon juice  (see tips below)', 'beaten egg, to glaze', 'jam and clotted cream, to serve']	Easy	['Easily doubled', 'Easily halved', 'Freezable']
['british']	['afternoon-tea', 'dessert']	Banana bread	['140g butter, softened, plus extra for the tin', '140g caster sugar', '2 large eggs, beaten', '140g self-raising flour', '1 tsp baking powder', '2 very ripe  bananas, mashed', '50g icing sugar', 'handful dried banana chips, for decoration']	Easy	['Freezable (un-iced)']
['spanish']	['dinner', 'main-course', 'supper']	Easiest ever seafood rice	['1 tbsp olive oil', '1 leek  or onion, sliced', '110g pack chorizo  sausage, chopped', '1 tsp turmeric', '300g long grain rice', '1l hot fish or chicken stock', '200g frozen peas', '400g frozen seafood mix, defrosted']	Easy	['Healthy', 'High-protein']
['indian']	['dinner', 'main-course', 'supper']	Spinach, sweet potato & lentil dhal	['1 tbsp sesame oil', '1 red onion, finely chopped', '1 garlic clove, crushed', 'thumb-sized piece ginger, peeled and finely chopped', '1 red chilli, finely chopped', '1½ tsp ground turmeric', '1½ tsp ground cumin', '2 sweet potatoes (about 400g/14oz), cut into even chunks', '250g red split lentils', '600ml vegetable stock', '80g bag of spinach', '4 spring onions, sliced on the diagonal, to serve', '½ small pack of Thai basil, leaves torn, to serve']	Easy	['Freezable', 'Healthy', 'Vegan', 'Vegetarian']
	['afternoon-tea', 'dessert', 'treat']	Easy carrot cake	['230ml vegetable oil, plus extra for the tin', '100g natural yogurt', '4 large eggs', '1½ tsp vanilla extract', '½ orange, zested', '265g self-raising flour', '335g light muscovado sugar', '2½ tsp ground cinnamon', '¼ fresh nutmeg, finely grated', '265g carrots (about 3), grated', '100g sultanas or raisins', '100g walnuts or pecans, roughly chopped (optional)', '100g slightly salted butter, softened', '300g icing sugar', '100g soft cheese']	Easy	['Freezable (un-iced)']
	['dinner', 'main-course', 'supper']	Burnt aubergine veggie chilli	['1 aubergine', '1 tbsp olive oil or rapeseed oil', '1 red onion, diced', '2 carrots, finely diced', '70g puy lentils or green lentils, rinsed', '30g red lentils, rinsed', '400g can kidney beans', '3 tbsp dark soy sauce', '400g can chopped tomatoes', '20g dark chocolate, finely chopped', '¼ tsp chilli powder', '2 tsp dried oregano', '2 tsp ground cumin', '2 tsp sweet smoked paprika', '1 tsp coriander', '1 tsp cinnamon', '800ml vegetable stock', '½ lime, juiced', 'brown rice', 'tortilla chips, mashed avocado, yogurt or soured cream, grated cheddar, roughly chopped coriander (optional) ']	Easy	['Freezable', 'Vegetarian']
['british']	['afternoon-tea', 'treat']	Ultimate chocolate cake	['200g dark chocolate (about 60% cocoa solids), chopped', '200g butter, cubed', '1 tbsp instant coffee granules', '85g self-raising flour', '85g plain flour', '¼ tsp bicarbonate of soda', '200g light muscovado sugar', '200g golden caster sugar', '25g cocoa powder', '3 medium  eggs', '75ml buttermilk', '50g grated chocolate or 100g curls, to decorate', '200g dark chocolate (about 60% cocoa solids), chopped', '300ml double cream', '2 tbsp golden caster sugar', '']	Easy	['Freezable (un-iced and undecorated)']
	['dinner']	Chicken arrabbiata stew & parmesan dumplings	['2 tbsp olive oil', '1 onion, thinly sliced', '8 skinless and boneless chicken thighs, halved', '2 large garlic cloves, crushed', '1-1½ tsp chilli flakes', '4 tbsp sun-dried tomato pesto', '250ml chicken stock', '2 x 400g can chopped tomatoes', '5 thyme sprigs, tied', '2 tsp sugar', '½ small bunch of parsley, finely chopped', '80g cold unsalted butter, cubed', '150g self-raising flour', '80g parmesan, grated', '50-60ml milk']	Easy	['Freezable']
	['dinner', 'main-course', 'supper']	Double bean & roasted pepper chilli	['2 onions, chopped', '2 celery sticks, finely chopped', '2 yellow or orange peppers, finely chopped', '2 tbsp sunflower oil or rapeseed oil', '2 x 460g jars roasted red peppers', '2 tsp chipotle paste', '2 tbsp red wine vinegar', '1 tbsp cocoa powder', '1 tbsp dried oregano', '1 tbsp sweet smoked paprika', '2 tbsp ground cumin', '1 tsp ground cinnamon', '2 x 400g cans chopped tomatoes', '400g can refried beans', '3 x 400g cans kidney beans, drained and rinsed', '2 x 400g cans  black beans, drained and rinsed']	Easy	['Freezable', 'Gluten-free', 'Healthy', 'Vegetarian']
['italian']	['dinner', 'lunch', 'main-course', 'starter', 'supper']	Mushroom risotto	['50g dried porcini  mushrooms', '1 vegetable stock  cube', '2 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, finely chopped', '250g pack chestnut mushrooms, chopped', '300g risotto rice, such as arborio', '1 x 175ml glass white wine', '25g butter', 'handful parsley  leaves, chopped', '50g parmesan  or Grana Padano, freshly grated']	Easy	['Vegetarian']
	['afternoon-tea', 'treat']	Chocolate fudge crinkle biscuits	['60g cocoa powder, sieved', '200g caster sugar', '60ml vegetable oil', '2 large eggs', '180g plain flour', '1 tsp baking powder', '70g icing sugar']	Easy	['Freezable', 'Vegetarian']
['british']	['afternoon-tea', 'treat']	Carrot cake	['175g light muscovado sugar', '175ml sunflower oil', '3 large eggs, lightly beaten', '140g grated carrot (about 3 medium)', '100g raisins', '1 large orange, zested', '175g self-raising flour', '1 tsp bicarbonate of soda', '1 tsp ground cinnamon', '½ tsp grated nutmeg (freshly grated will give you the best flavour)', '175g icing sugar', '1½-2 tbsp orange juice']	Easy	['Freezable', 'Dairy-free']
['indian']	['dinner', 'lunch', 'snack', 'soup', 'supper']	Spiced carrot & lentil soup	"['2 tsp cumin seeds', 'pinch chilli flakes', '2 tbsp olive oil', '600g carrots, washed and coarsely grated (no need to peel)', '140g split red lentils', '1l hot vegetable stock (from a cube is fine)', ""125ml milk (to make it dairy-free, see 'try' below)"", 'plain yogurt and naan bread, to serve']"	Easy	['Freezable', 'Healthy', 'Vegetarian']
['british']	['afternoon-tea', 'treat']	Vintage chocolate chip cookies	['150g salted butter, softened', '80g light brown muscovado sugar', '80g granulated sugar', '2 tsp vanilla extract', '1 large egg', '225g plain flour', '½ tsp bicarbonate of soda', '¼ tsp salt', '200g plain chocolate chips or chunks']	Easy	['Freezable']
	['dinner', 'main-course', 'supper']	Slow-cooker beef stew	['1 onion, chopped', '2 celery sticks, finely chopped', '2 tbsp rapeseed oil', '3 carrots, halved and cut into chunks', '2 bay leaves', '½ pack thyme', '2 tbsp tomato purée', '2 tbsp Worcestershire sauce', '2 beef stock cubes or stock pots', '900g beef for braising such as skirt, buy a whole piece and cut it yourself for bigger chunks or buy ready-diced', '2 tsp cornflour (optional)', '½ small bunch parsley, chopped', 'buttery mash, to serve (optional)']	Easy	['Freezable']
['chinese']	['dinner', 'main-course']	Chinese chicken curry	['4 skinless chicken breasts, cut into chunks (or use thighs or drumsticks)', '2 tsp cornflour', '1 onion, diced', '2 tbsp rapeseed oil', '1 garlic clove, crushed', '2 tsp curry powder', '1 tsp turmeric', '½ tsp ground ginger', 'pinch sugar', '400ml chicken stock', '1 tsp soy sauce', 'handful frozen peas', 'rice to serve']	Easy	['Healthy', 'High-protein', 'Low calorie', 'Low fat']
['british']	['dinner', 'lunch', 'side-dish']	Best Yorkshire puddings	['140g plain flour (this is about 200ml/7fl oz)', '4 eggs (200ml/7fl oz)', '200ml milk', 'sunflower oil, for cooking']	Easy	['Freezable', 'Vegetarian']
	['afternoon-tea', 'side-dish', 'snack', 'supper']	Classic cheese scones	['225g self-raising flour, plus extra for dusting ', 'pinch of salt', 'pinch of cayenne pepper', '1 tsp baking powder', '55g chilled butter, cut into cubes', '120g mature cheddar, grated ', '90-100ml milk, plus 1 tbsp for glazing ']	Easy	['Freezable', 'Vegetarian']
	['dinner', 'main-course', 'pasta']	Sausage ragu	['3 tbsp olive oil', '1 onion, finely chopped', '2 large garlic cloves, crushed', '¼ tsp chilli flakes', '2 rosemary sprigs, leaves finely chopped', '2 x 400g cans chopped tomatoes', '1 tbsp brown sugar', '6 pork sausages', '150ml whole milk', '1 lemon, zested', '350g rigatoni pasta', 'grated parmesan and ½ small bunch parsley, leaves roughly chopped, to serve']	Easy	['Freezable']
['british']	['dinner', 'main-course']	Cottage pie	['3 tbsp olive oil', '1¼kg beef mince', '2 onions, finely chopped', '3 carrots, chopped', '3 celery sticks, chopped', '2 garlic cloves, finely chopped', '3 tbsp plain flour', '1 tbsp tomato purée', 'large glass of red wine (optional)', '850ml beef stock', '4 tbsp Worcestershire sauce', 'a few thyme sprigs', '2 bay leaves', '1.8kg potatoes, chopped', '225ml milk', '25g butter', '200g strong cheddar, grated', 'freshly grated  nutmeg']	Easy	['Freezable']
['indian']	['dinner', 'lunch', 'supper']	Chicken satay salad	['1 tbsp tamari', '1 tsp medium curry powder', '¼ tsp ground cumin', '1 garlic clove, finely grated', '1 tsp clear honey', '2 skinless chicken breast fillets (or use turkey breast)', '1 tbsp crunchy peanut butter (choose a sugar-free version with no palm oil, if possible)', '1 tbsp sweet chilli sauce', '1 tbsp lime juice', 'sunflower oil, for wiping the pan', '2 Little Gem lettuce hearts, cut into wedges', '¼ cucumber, halved and sliced', '1 banana shallot, halved and thinly sliced', 'coriander, chopped', 'seeds from ½ pomegranate']	Easy	['Healthy']
['british']	['dinner', 'main-course']	Toad-in-the-hole	['12 chipolatas', '1 tbsp sunflower oil', '140g plain flour', '2 eggs', '175ml semi-skimmed milk']	Easy	[]
	['afternoon-tea', 'breakfast', 'brunch', 'dessert', 'treat']	Vegan banana bread	['3 large black  bananas', '75ml vegetable oil or sunflower oil, plus extra for the tin', '100g brown sugar', '225g plain flour (or use self-raising flour and reduce the baking powder to 2 heaped tsp)', '3 heaped tsp baking powder', '3 tsp cinnamon or mixed spice', '50g dried fruit or nuts (optional)']	Easy	['Dairy-free', 'Egg-free', 'Vegan', 'Vegetarian']
