cuisine	types	name	ingredients	difficulty	health_banners
	['dinner']	Chicken pot pie	['2 tbsp vegetable oil', '8-10  skinless, boneless chicken thighs (about 1kg)', '2 onions, finely chopped', '2 celery sticks, finely chopped ', '2 carrots, finely chopped', '50g butter', '50g plain flour', '500ml milk', '1 chicken stock cube', '1 tbsp Dijon mustard', 'small bunch of thyme, leaves picked, or use 1 tsp dried thyme', '1 egg, beaten', '375g sheet ready-rolled puff pastry']	Easy	['Freezable', 'High-protein', 'Low sugar', 'Nut-free']
	['dinner', 'main-course']	Slow cooker beef topside with red wine gravy	['1 tbsp black peppercorns', '1 tbsp English mustard powder', '2 tbsp chopped  rosemary', '1 tsp celery seeds', '15g dried porcini mushrooms', '4 tbsp olive or rapeseed oil', '1.6kg beef topside, cut into 12 slices', '600ml hot beef stock', '1 large  carrot, peeled and roughly chopped', '1 large onion, roughly chopped', '2 sticks celery, roughly chopped', '2 tbsp tomato purée', '200ml red wine', '1 tbsp cornflour (optional)']	Easy	['Freezable']
['american']		Homemade granola bars	['100g butter, plus extra for greasing', '200g porridge oats', '100g sunflower seeds', '50g sesame seeds', '50g chopped walnuts', '3 tbsp honey', '100g light muscovado sugar', '1 tsp ground cinnamon', '100g dried cranberries, cherries or blueberries, or a mix']	Easy	['Vegetarian']
['indian']	['dinner', 'side-dish']	Lentil & tomato salad	['250g dried Puy or green lentil, rinsed', 'juice ½  lime and juice ½ lemon', '1 tbsp white wine or  cider vinegar', '1 red onion, thinly sliced into rings', '2 tbsp extra-virgin olive oil', '1 tsp ground cumin', '1 small  garlic clove, crushed', '2 tbsp mango chutney', 'handful coriander, roughly chopped', '250g cherry vine tomato, halved', '85g baby spinach, washed and thoroughly dried']	Easy	['Healthy', 'Vegetarian']
['spanish']	['dinner', 'main-course']	Chorizo & chickpea stew	['4 cooking chorizo sausages, cut into thick slices', '1 red onion, sliced', '2 garlic cloves, sliced', '1 tsp smoked paprika', '1 tsp cumin seed', '400g can cherry tomato', 'juice 1 lemon', '400g can chickpea, drained', '1 handful flat-leaf parsley, chopped', 'toasted sourdough bread, to serve']	Easy	['Freezable']
['british']	['dinner', 'main-course', 'pasta']	Roasted cauliflower & hazelnut carbonara	['1 large cauliflower (about 700g), cut into small florets', '1 tbsp olive oil', 'small bunch thyme, leaves picked', '100g hazelnuts, roughly chopped', '350g penne', '100g parmesan (or vegetarian alternative), grated', '2 eggs, beaten', '2 tbsp double cream', 'small pack parsley, chopped']	Easy	['Vegetarian']
['british']	['dinner', 'lunch', 'main-course']	Braised lamb shanks	['2 tbsp olive oil', '8 lamb  shanks', '1 onion, roughly chopped', '2 carrots, roughly chopped', 'few sprigs fresh rosemary', '3 fresh bay leaves', '4 garlic cloves, left whole', '2 tbsp plain flour', '1 tbsp tomato  purée', '350ml white wine', '500ml lamb or chicken stock']	More effort	['Freezable (Freeze for up to one month)']
['thai']	['dinner', 'main-course', 'supper']	Thai prawn & ginger noodles	['100g folded rice noodles (sen lek)', 'zest and juice 1 small orange', '1½-2 tbsp red curry paste', '1-2 tsp fish sauce', '2 tsp light brown soft sugar', '1 tbsp sunflower oil', '25g ginger, scraped and shredded', '2 large garlic cloves, sliced', '1 red pepper, deseeded and sliced', '85g sugar snap peas, halved lengthways', '140g beansprouts', '175g pack raw king prawns', 'handful chopped basil', 'handful chopped coriander']	Easy	['Healthy']
['american']	['dinner', 'main-course', 'pasta', 'supper']	Southern-style mac ‘n’ cheese	['400g sweet potatoes (1 large or 2 small)', '1½ tbsp olive oil', '¼ tsp ground cayenne', '35g butter', '50g plain flour', '600ml whole milk', '3 tsp American mustard (or 2 tsp English mustard)', 'generous grating nutmeg', '135g mature cheddar, grated', '225g macaroni']	Easy	['Vegetarian']
['british']	['afternoon-tea', 'buffet', 'dessert', 'snack']	Plum & almond crumble slice	['250g pack butter (this must be very cold)', '225g caster sugar', '300g ground almond', '140g plain flour, plus 25g/1oz', '2 eggs', '1 tsp cinnamon', '1 tsp baking powder', 'approx 6 plums, stoned and cut into sixths', '50g flaked almond']	More effort	[]
	['dessert', 'snack', 'treat']	Rocky road	['75g digestive biscuits', '25g walnut pieces', '150g pink and white marshmallows', '100g butter', '2 tbsp golden syrup', '300g dark chocolate, chopped into small pieces', '50g milk chocolate, chopped into small pieces', '1-2 tsp icing sugar']	Easy	[]
	['dessert', 'snack', 'treat']	Rocky road	['75g digestive biscuits', '25g walnut pieces', '150g pink and white marshmallows', '100g butter', '2 tbsp golden syrup', '300g dark chocolate, chopped into small pieces', '50g milk chocolate, chopped into small pieces', '1-2 tsp icing sugar']	Easy	[]
	['dinner', 'lunch', 'supper']	Aubergine dhal with tomato & onion raita	['1 tbsp rapeseed oil', '1 large onion, thinly sliced', '3 garlic cloves, thinly sliced', '1 tbsp finely chopped ginger', '2 tsp turmeric', '2 tsp ground coriander', '2 tsp cumin seeds', '1 red chilli, seeded and thinly sliced', '1 tbsp vegetable bouillon powder', '115g red lentils', '1 large aubergine, cubed', '400g can chickpeas (no need to drain)', '1 small red onion, finely chopped', '⅓ of a 100g pack coriander, chopped', 'small handful fresh mint, chopped, plus a few small leaves', '2 tomatoes, chopped', '120g pot bio yogurt']	Easy	['Gluten-free', 'Healthy', 'Vegetarian']
['indian']	['lunch', 'side-dish', 'supper']	Flatbread	['500g  strong white flour', '2 tsp salt', '7g  sachet fast-action yeast', '3 tbsp olive oil', '300ml water']	More effort	['Freezable', 'Vegetarian']
['indian']	['dinner', 'main-course']	Prawn jalfrezi	"['2 tsp rapeseed oil', '2 medium onions, chopped', 'thumb-sized piece ginger, finely chopped', '2 garlic cloves, chopped', '1 tsp ground coriander', '½ tsp ground turmeric', '½ tsp ground cumin', ""¼ tsp chilli flakes (or less if you don't like it too spicy)"", '400g can chopped tomato', 'squeeze of clear honey', '1 large green pepper, halved, deseeded and chopped', 'small bunch coriander, stalks and leaves separated, chopped', '140g large cooked peeled tiger prawns', '250g pouch cooked brown rice', 'minty yogurt or chutney, to serve (optional)']"	Easy	['Freezable', 'Gluten-free', 'Healthy']
	['dinner', 'main-course']	Slow cooker pork fillet with apples	['½ tbsp rapeseed oil', '500g pork fillet, sliced into medallions', '1 medium onion, finely chopped', '3 eating apples', '150ml low-salt chicken stock', '1 tbsp Dijon mustard', '4 sage leaves, finely sliced', '2 tbsp half-fat crème fraîche']	Easy	['Healthy']
	['afternoon-tea', 'dessert', 'treat']	Spiced honey drizzle cake	['100g salted butter, plus extra for the tin', '100g light brown soft sugar', '100g runny honey', '1 large egg', '100ml milk', '1 tsp mixed spice', '½ tsp ground  ginger', '150g self-raising flour', '25g salted butter', '25g runny honey']	Easy	['Freezable (Before glazing)', 'Vegetarian']
['british']	['dinner', 'lunch', 'main-course', 'supper']	Beef stew in red wine sauce recipe	['25g butter', '2 large onions, sliced into rings', '6 garlic cloves, halved', '3 tbsp plain flour', '600g piece beef skirt or slices of shin, cut into large chunks', '2 tbsp olive or rapeseed oil', '3 bay leaves', '400ml red wine', '1 tbsp tomato purée', '300ml strong beef stock', '250g mushrooms, halved (we used small Portobello mushrooms)', 'chopped parsley, to serve (optional)']	Easy	['Freezable']
['american']	['breakfast', 'brunch', 'lunch', 'side-dish', 'snack']	Homemade vegan bagels	['7g sachet dried yeast', '4 tbsp sugar', '2 tsp salt', '450g bread  flour', 'poppy, fennel and/or  sesame  seeds to sprinkle on top (optional)']	A challenge	['Freezable', 'Dairy-free', 'Egg-free', 'Vegan', 'Vegetarian']
	['dessert']	Chocolate egg baked tart	['80g butter, softened', '40g golden caster sugar', '120g self raising flour', '75g butter', '100g dark chocolate (70% cocoa)', '75g golden caster sugar', '50g plain flour', '4 large eggs, beaten', '2 x 80g bags of  chocolate eggs (we used Galaxy Golden Eggs)', 'crème fraîche, to serve']	Easy	[]
['italian']	['lunch', 'soup']	Roasted tomato & mascarpone soup	['1kg very ripe tomatoes', 'pinch golden caster sugar', '1 tbsp balsamic vinegar', '3 tbsp olive oil', '1 large onion, chopped', '1 carrot, finely chopped', 'sprig of  thyme and 2 fresh bay leaves, tied together', '2 garlic cloves, chopped', '1 tbsp sundried or normal tomato purée', '600ml vegetable stock', '2 tbsp mascarpone cheese (or use double cream as alternative)', 'best quality extra-virgin olive oil', 'fresh thyme']	Easy	['Freezable', 'Vegetarian']
	['dinner', 'lunch', 'supper']	Smoky chorizo & manchego quiche	['1 tbsp olive oil', '200g chorizo ring, cut into small cubes', '3 large  eggs', '100g crème fraîche, plus extra to serve', '150g double cream', '150g manchego cheese, grated', '250g plain flour, plus extra for dusting', '1½ tbsp  smoked paprika', '½ tsp  cayenne pepper', '100g cold unsalted  butter, cubed']	More effort	[]
['brazilian']	['main-course']	Brazilian pork stew with corn dumplings	['900g pork shoulder, cut into 4cm chunks', '2 tbsp sunflower oil', '2 onions, finely chopped', '2 celery sticks, finely chopped', '3 bay leaves', '1 tbsp oregano leaves (or 2 tsp dried), plus extra, to serve', '1 tbsp ground cumin', '1 tbsp ground coriander', '1 tbsp allspice', '1 stock cube (beef, pork or chicken)', '2 x 400g cans chopped tomatoes', '1 tbsp cocoa powder', '2 tbsp soft dark brown or muscovado sugar', '3 tbsp red wine vinegar', 'zest and juice 2 oranges', '2 red chillies, halved lengthways - seeds in or out, depending on whether you like it spicy', 'bunch spring onions, finely sliced', '400g sweet potatoes, peeled and cut into 3-4cm/1.25in - 1.5in chunks', '2 red peppers, deseeded and cut into chunks', '2 x 400g cans black beans, drained and rinsed', '100g cold butter, diced', '200g self-raising flour', '140g cornmeal or finely ground polenta, plus extra for dusting', '½ tsp bicarbonate of soda', '140g sweetcorn, from a can, drained, or freshly cut from a cob (just boil for 3 mins first)', '75ml buttermilk', '1 medium egg, beaten']	Easy	['Freezable (before adding dumplings)']
	['breakfast', 'brunch', 'lunch', 'supper']	Breakfast naans	['1 tbsp vegetable or sunflower oil', '2 eggs', '2 small naan breads', '4 tbsp low-fat cream cheese', '2 tbsp mango chutney', '1 avocado, halved and sliced', '½ lime, juiced', '1 green chilli', 'small handful coriander, leaves picked']	Easy	['Vegetarian']
	['dinner', 'main-course', 'supper']	Beef & ale stew	['3 tbsp vegetable oil', '1 ½kg braising beef, cut into 3.5cm pieces', '4 large onions, thickly sliced', '3 tbsp plain flour', '500ml stout', '800ml beef stock', '6 thyme sprigs', '450g chestnut mushrooms, halved', 'handful parsley, to serve']	Easy	['Freezable']
['british']	['dinner', 'side-dish']	Rough-puff pastry	['250g strong plain flour', '1 tsp fine sea salt', '250g butter, at room temperature, but not soft', 'about  cold water']	More effort	['Freezable']
	['breakfast', 'snack']	Oat & cranberry bars	['100g self raising flour', '100g porridge oats', '100g light muscovado sugar', '100g dried cranberries', '100g butter, melted', '1 tbsp golden syrup', '1large egg, beaten', '1 tsp vanilla extract or almond extract', '3 tbsp flaked almonds', 'icing sugar, for dusting']	Easy	[]
	['dessert']	Courgette & lime cake	['200g light brown soft sugar', '200ml vegetable or sunflower oil, plus extra for the tin', '4 eggs', '175g self-raising flour', '½ tsp baking powder', '75g shelled pistachios, ground', '1 medium courgette (about 150g), grated', '2 limes, zested and juiced', '275g soft cheese', '100g icing sugar', '1 lime, zested and juiced', '25g shelled pistachios, roughly chopped']	Easy	['Freezable (sponge only)']
	['dinner', 'supper']	Crispy chicken & pineapple tacos	['6 skin-on boneless  chicken thighs', '2 tsp smoked paprika', '2 tsp ground  coriander', '2½ tbsp  olive oil', '3 tbsp mayonnaise', '100ml soured cream', '½ tbsp  chipotle paste', '1 large, ripe  avocado', '1 lime, juiced', '8 small flour  tortillas', '½ medium  pineapple', '½ small  red onion, finely chopped', '1 red chilli, finely chopped', 'small bunch of  coriander, finely chopped', '1 lime, juiced']	Easy	[]
['spanish']	['main-course', 'supper']	Shakshuka	['1 tbsp olive oil', '2 red onions, chopped', '1 red chilli, deseeded and finely chopped', '1 garlic clove, sliced', 'small bunch coriander stalks and leaves chopped separately', '2 cans  cherry tomatoes', '1 tsp caster sugar', '4 eggs']	Easy	['Freezable (The sauce can be frozen for one month)', 'Gluten-free', 'Nut-free', 'Vegetarian']
	['afternoon-tea', 'dessert', 'treat']	Gingerbread men	['225g plain flour, plus extra for dusting', 'salt', '2tsp bicarbonate of soda', 'ground ginger', 'cinnamon', '75g unsalted butter', '100g soft brown sugar', '100g golden syrup']	Easy	['Vegetarian']
['thai']	['dinner', 'main-course']	Thai prawn, ginger & spring onion stir-fry	['200g raw, peeled tiger prawns from a sustainable source', '1 green Thai chilli, chopped', '3 garlic cloves, 1 crushed and 2 finely sliced', '1 bunch coriander, leaves and stalks separated', '1 tbsp caster sugar', 'juice 1 lime', '3 tbsp fish sauce', '2 tbsp groundnut oil', '3cm piece ginger, finely sliced, then shredded', '8 spring onions, finely sliced', '1 red pepper, thinly sliced', '85g water chestnuts, sliced', '100g beansprouts', '1 tbsp soy sauce', 'egg or rice noodles, to serve', 'lime wedges, to serve']	Easy	[]
	['dinner', 'main-course', 'supper']	Roast chicken & spiced rice	['1 chicken stock cube', '4 tbsp mild or medium curry paste (we used korma)', '2 tbsp butter or oil, plus extra for frying', '350g basmati rice', '1 cinnamon stick', '6-8  chicken thighs, bone-in, skin on', '1 onion, halved and sliced', '20g toasted  almonds', '350g green beans', 'handful of  coriander leaves', 'mango chutney, to serve']	Easy	[]
['indian']	['dinner', 'main-course']	Goan prawn, potato & coconut curry	['125g coconut oil', '2 onions, chopped', '5 dried red chillies (Scotch bonnet work well)', 'thumb-sized piece ginger, grated', '4 garlic cloves, grated', '6 dried curry leaves', '½ tsp mustard seeds', '30g tomato purée', '½ tsp hot chilli powder', '½ tsp turmeric', '2 x 400g cans coconut milk', '300g cauliflower (1/2 small one), broken into small florets', '1 large potato, peeled and chopped into 2cm chunks', '600g raw peeled prawns', '1 bunch spring onions, finely chopped', '1 bunch coriander, chopped', '100g salted peanuts, chopped', 'lime wedges, to serve']	Easy	['Freezable', 'Gluten-free']
	['main-course']	Slow-cooked Greek lamb	['shoulder of lamb, about 2kg', '1 garlic bulb, cloves separated but the skin left on', 'about 30g anchovies', '2 tbsp olive oil', '10 tomatoes, left whole', '6 carrots, peeled but left whole', 'handful fresh sage', 'handful fresh rosemary', 'handful fresh thyme', 'tzatziki, chickpea salad and flatbreads, to serve']	Easy	['Freezable', 'Gluten-free']
['french']	['buffet', 'dessert']	Chocolate marquise	"[""300g dark chocolate, use 70%, good quality, such as Valrhona or Green & Black's"", '150g unsalted butter, softened', '150g caster sugar', '6 tbsp cocoa powder', '6 eggs', '450ml double cream', '300g box After Eights']"	More effort	['Freezable (for up to a month)', 'Vegetarian']
['italian']	['dinner', 'lunch', 'pasta', 'supper']	Tuna pasta	['350g pasta  shells', '200g pack trimmed fine beans, cut into short lengths', '200g can tuna  in oil', '1 lemon, zested', '1 heaped tbsp small capers', 'generous pinch of  chilli  flakes', 'olive oil,  for drizzling']	Easy	[]
['british']	['dinner', 'main-course']	Slow-roast pork shoulder	['1 tsp black treacle', '2 tbsp cider vinegar', '2 tsp smoked paprika', '1 tsp ground cumin', '1 tsp mustard powder', '1 tsp chilli powder', '2.7kg boned pork shoulder']	More effort	['Gluten-free']
['mexican']	['dinner', 'main-course']	Mexican beef chilli	['up to 6 tbsp sunflower oil', '4kg stewing beef', '4 white onions, sliced', '4 tbsp chipotle paste', '8 garlic cloves, crushed', '50g ginger, grated', '1 tbsp ground cumin', '2 tsp ground cinnamon', '1 tbsp plain flour', '2l beef stock', '3 x 400g cans chopped tomatoes', '1 tbsp dried oregano', '5 x 400g cans pinto or kidney beans, drained']	Easy	['Freezable']
	['side-dish']	Air-fried chips	['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']	Easy	['Dairy-free', 'Egg-free', 'Gluten-free', 'Healthy', 'Vegan', 'Vegetarian']
	['dessert', 'snack', 'treat']	Rocky road	['75g digestive biscuits', '25g walnut pieces', '150g pink and white marshmallows', '100g butter', '2 tbsp golden syrup', '300g dark chocolate, chopped into small pieces', '50g milk chocolate, chopped into small pieces', '1-2 tsp icing sugar']	Easy	[]
	['dinner', 'lunch', 'supper']	Aubergine dhal with tomato & onion raita	['1 tbsp rapeseed oil', '1 large onion, thinly sliced', '3 garlic cloves, thinly sliced', '1 tbsp finely chopped ginger', '2 tsp turmeric', '2 tsp ground coriander', '2 tsp cumin seeds', '1 red chilli, seeded and thinly sliced', '1 tbsp vegetable bouillon powder', '115g red lentils', '1 large aubergine, cubed', '400g can chickpeas (no need to drain)', '1 small red onion, finely chopped', '⅓ of a 100g pack coriander, chopped', 'small handful fresh mint, chopped, plus a few small leaves', '2 tomatoes, chopped', '120g pot bio yogurt']	Easy	['Gluten-free', 'Healthy', 'Vegetarian']
['indian']	['lunch', 'side-dish', 'supper']	Flatbread	['500g  strong white flour', '2 tsp salt', '7g  sachet fast-action yeast', '3 tbsp olive oil', '300ml water']	More effort	['Freezable', 'Vegetarian']
['indian']	['dinner', 'main-course']	Prawn jalfrezi	"['2 tsp rapeseed oil', '2 medium onions, chopped', 'thumb-sized piece ginger, finely chopped', '2 garlic cloves, chopped', '1 tsp ground coriander', '½ tsp ground turmeric', '½ tsp ground cumin', ""¼ tsp chilli flakes (or less if you don't like it too spicy)"", '400g can chopped tomato', 'squeeze of clear honey', '1 large green pepper, halved, deseeded and chopped', 'small bunch coriander, stalks and leaves separated, chopped', '140g large cooked peeled tiger prawns', '250g pouch cooked brown rice', 'minty yogurt or chutney, to serve (optional)']"	Easy	['Freezable', 'Gluten-free', 'Healthy']
	['dinner', 'main-course']	Slow cooker pork fillet with apples	['½ tbsp rapeseed oil', '500g pork fillet, sliced into medallions', '1 medium onion, finely chopped', '3 eating apples', '150ml low-salt chicken stock', '1 tbsp Dijon mustard', '4 sage leaves, finely sliced', '2 tbsp half-fat crème fraîche']	Easy	['Healthy']
	['afternoon-tea', 'dessert', 'treat']	Spiced honey drizzle cake	['100g salted butter, plus extra for the tin', '100g light brown soft sugar', '100g runny honey', '1 large egg', '100ml milk', '1 tsp mixed spice', '½ tsp ground  ginger', '150g self-raising flour', '25g salted butter', '25g runny honey']	Easy	['Freezable (Before glazing)', 'Vegetarian']
['british']	['dinner', 'lunch', 'main-course', 'supper']	Beef stew in red wine sauce recipe	['25g butter', '2 large onions, sliced into rings', '6 garlic cloves, halved', '3 tbsp plain flour', '600g piece beef skirt or slices of shin, cut into large chunks', '2 tbsp olive or rapeseed oil', '3 bay leaves', '400ml red wine', '1 tbsp tomato purée', '300ml strong beef stock', '250g mushrooms, halved (we used small Portobello mushrooms)', 'chopped parsley, to serve (optional)']	Easy	['Freezable']
['american']	['breakfast', 'brunch', 'lunch', 'side-dish', 'snack']	Homemade vegan bagels	['7g sachet dried yeast', '4 tbsp sugar', '2 tsp salt', '450g bread  flour', 'poppy, fennel and/or  sesame  seeds to sprinkle on top (optional)']	A challenge	['Freezable', 'Dairy-free', 'Egg-free', 'Vegan', 'Vegetarian']
	['dessert']	Chocolate egg baked tart	['80g butter, softened', '40g golden caster sugar', '120g self raising flour', '75g butter', '100g dark chocolate (70% cocoa)', '75g golden caster sugar', '50g plain flour', '4 large eggs, beaten', '2 x 80g bags of  chocolate eggs (we used Galaxy Golden Eggs)', 'crème fraîche, to serve']	Easy	[]
['italian']	['lunch', 'soup']	Roasted tomato & mascarpone soup	['1kg very ripe tomatoes', 'pinch golden caster sugar', '1 tbsp balsamic vinegar', '3 tbsp olive oil', '1 large onion, chopped', '1 carrot, finely chopped', 'sprig of  thyme and 2 fresh bay leaves, tied together', '2 garlic cloves, chopped', '1 tbsp sundried or normal tomato purée', '600ml vegetable stock', '2 tbsp mascarpone cheese (or use double cream as alternative)', 'best quality extra-virgin olive oil', 'fresh thyme']	Easy	['Freezable', 'Vegetarian']
	['dinner', 'lunch', 'supper']	Smoky chorizo & manchego quiche	['1 tbsp olive oil', '200g chorizo ring, cut into small cubes', '3 large  eggs', '100g crème fraîche, plus extra to serve', '150g double cream', '150g manchego cheese, grated', '250g plain flour, plus extra for dusting', '1½ tbsp  smoked paprika', '½ tsp  cayenne pepper', '100g cold unsalted  butter, cubed']	More effort	[]
